"URN","SCHNAME","TOWN","Postcode","ATT8SCR","NUMBOYS","NUMGIRLS","P8MEA","shortPostcode","District","County"
143238,"Brigshaw High School","Castleford","WF102HR",44.4,"686","683",0.05,"WF10","WAKEFIELD","WEST YORKSHIRE"
108123,"Broomfield South SILC","Leeds","LS103JP",0.2,"163","63",-1.58,"LS10","LEEDS","WEST YORKSHIRE"
142056,"Bruntcliffe Academy","Leeds","LS270LZ",48.2,"711","654",0.34,"LS27","LEEDS","WEST YORKSHIRE"
108095,"Cardinal Heenan Catholic High School","Leeds","LS64QE",59.1,"427","496",0.66,"LS64","LEEDS","WEST YORKSHIRE"
108059,"Carr Manor Community School","Leeds","LS175DJ",50.5,"748","736",0.56,"LS17","LEEDS","WEST YORKSHIRE"
145927,"Cockburn John Charles Academy","Leeds","LS102JU",41.6,"583","627",0.47,"LS10","LEEDS","WEST YORKSHIRE"
142585,"Cockburn School","Leeds","LS115TT",48.4,"644","630",0.72,"LS11","LEEDS","WEST YORKSHIRE"
137065,"Co-op Academy Leeds","Leeds","LS97HD",33,"478","459",-0.03,"LS97","LEEDS","WEST YORKSHIRE"
144588,"Co-op Academy Priesthorpe","Pudsey","LS285SG",39.3,"584","467",-0.4,"LS28","LEEDS","WEST YORKSHIRE"
148294,"Corpus Christi Catholic College, A Voluntary Academy","Leeds","LS90TT",35.7,"475","406",-0.88,"LS90","LEEDS","WEST YORKSHIRE"
138304,"Crawshaw Academy","Pudsey","LS289HU",42.9,"567","553",-0.59,"LS28","LEEDS","WEST YORKSHIRE"
144743,"Dixons Trinity Chapeltown","Leeds","LS74AW",47.8,"471","488",0.52,"LS74","LEEDS","WEST YORKSHIRE"
146363,"Dixons Unity Academy","Leeds","LS123DS",33.2,"465","448",-0.54,"LS12","LEEDS","WEST YORKSHIRE"
137577,"The Farnley Academy","Leeds","LS125EU",49.3,"775","716",0.53,"LS12","LEEDS","WEST YORKSHIRE"
136343,"Garforth Academy","Leeds","LS251LJ",50.5,"957","940",0.34,"LS25","LEEDS","WEST YORKSHIRE"
148654,"Green Meadows Academy","Leeds","LS208LS",7.3,"164","54",-1.37,"LS20","LEEDS","WEST YORKSHIRE"
108085,"Guiseley School","Leeds","LS208DT",49.4,"704","713",-0.04,"LS20","LEEDS","WEST YORKSHIRE"
137775,"Horsforth School","Leeds","LS185RF",55.8,"881","773",0.4,"LS18","LEEDS","WEST YORKSHIRE"
108119,"John Jamieson School","Leeds","LS82PW",0.1,"298","133",-1.59,"LS82","LEEDS","WEST YORKSHIRE"
148793,"John Smeaton Academy","Leeds","LS158TA",32.5,"319","285",-0.9,"LS15","LEEDS","WEST YORKSHIRE"
108055,"Lawnswood School","Leeds","LS165AG",43.5,"730","711",-0.26,"LS16","LEEDS","WEST YORKSHIRE"
139646,"Leeds City Academy","Leeds","LS62LG",39.8,"506","478",0.42,"LS62","LEEDS","WEST YORKSHIRE"
